,,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value,response_value
Category,,Behavior,Behavior,Behavior,Behavior,Behavior,Cognition,Cognition,Cognition,Cognition,Emotions,Emotions,Emotions,Emotions,Emotions,Health,Health,Health,Health,Health,Language,Language,Language,Learning,Learning,Learning,Learning,Learning,Learning,Learning,Personal and Personality,Personal and Personality,Personal and Personality,Personal and Personality,Personal and Personality,Personal and Personality,Personal and Personality,Personal and Personality,Social Function,Social Function,Social Function,Social Function,Social Function,Social Function,Social Function
question,,activity,habits and repetitive behaviours,impulsivity,risk taking,substance abuse,attention,memory,planning and organization,processing speed,emotional stability,fears/worries,irritability,mood,stress level,complains of pain,diet,fine motor skills,gross motor skills,sleep,language,speech articulation,speech quantity,academic performance/aptitude,learning,learning new things,math,reading,understanding concepts,writing,confidence,creativity,integrity,perseverance,responsibility,sexual behavior,sexual identity,temperament,bullying,cooperativeness,empathy,following rules,hygiene,social behaviour,social skills
learner_id,activity_end_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,2021-04-29 19:55:02,10.0,5.0,9.0,0.0,0.0,8.0,0.0,10.0,0.0,10.0,9.0,10.0,5.0,10.0,8.0,5.0,1.0,2.0,0.0,5.0,5.0,10.0,2.0,8.0,9.0,9.0,9.0,9.0,2.0,8.0,8.0,0.0,8.0,6.0,5.0,5.0,7.0,4.0,9.0,0.0,1.0,5.0,5.0,5.0
B,2021-05-02 12:10:33,8.0,0.0,9.0,1.0,0.0,9.0,0.0,10.0,0.0,10.0,10.0,10.0,5.0,10.0,10.0,8.0,0.0,0.0,0.0,10.0,5.0,10.0,3.0,5.0,9.0,9.0,8.0,9.0,1.0,10.0,5.0,0.0,10.0,8.0,0.0,5.0,9.0,4.0,6.0,0.0,5.0,5.0,5.0,5.0
F,2021-05-02 12:25:31,10.0,0.0,5.0,8.0,0.0,5.0,0.0,2.0,9.0,5.0,8.0,0.0,0.0,10.0,0.0,5.0,7.0,10.0,0.0,9.0,0.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,10.0,0.0
